Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,8,41,5,Some Random Commen with Id 0
1,0,8,50,7,Some Random Commen with Id 1
2,0,8,118,3,Some Random Commen with Id 2
3,0,8,150,9,Some Random Commen with Id 3
4,1,4,193,1,Some Random Commen with Id 4
5,1,4,195,8,Some Random Commen with Id 5
6,3,0,140,3,Some Random Commen with Id 6
7,3,0,29,3,Some Random Commen with Id 7
8,3,0,111,3,Some Random Commen with Id 8
9,3,0,62,1,Some Random Commen with Id 9
10,3,0,80,3,Some Random Commen with Id 10
11,3,0,142,7,Some Random Commen with Id 11
12,4,5,65,3,Some Random Commen with Id 12
13,4,5,93,2,Some Random Commen with Id 13
14,4,5,22,4,Some Random Commen with Id 14
15,4,5,124,9,Some Random Commen with Id 15
16,4,5,123,6,Some Random Commen with Id 16
17,5,0,4,6,Some Random Commen with Id 17
18,5,0,94,1,Some Random Commen with Id 18
19,5,0,107,2,Some Random Commen with Id 19
20,6,8,107,9,Some Random Commen with Id 20
21,6,8,73,5,Some Random Commen with Id 21
22,6,8,112,8,Some Random Commen with Id 22
23,6,8,136,3,Some Random Commen with Id 23
24,6,8,101,3,Some Random Commen with Id 24
25,7,9,113,3,Some Random Commen with Id 25
26,7,9,19,1,Some Random Commen with Id 26
27,7,9,164,9,Some Random Commen with Id 27
28,7,9,188,0,Some Random Commen with Id 28
29,8,1,106,5,Some Random Commen with Id 29
30,8,1,99,0,Some Random Commen with Id 30
31,8,1,150,4,Some Random Commen with Id 31
32,8,1,106,5,Some Random Commen with Id 32
33,8,1,25,5,Some Random Commen with Id 33
34,8,1,120,1,Some Random Commen with Id 34
35,8,1,136,1,Some Random Commen with Id 35
36,8,1,21,1,Some Random Commen with Id 36
37,9,1,85,8,Some Random Commen with Id 37
38,9,1,198,3,Some Random Commen with Id 38
39,9,1,182,1,Some Random Commen with Id 39
40,9,1,62,2,Some Random Commen with Id 40
41,9,1,138,9,Some Random Commen with Id 41
42,9,1,42,2,Some Random Commen with Id 42
43,9,1,48,1,Some Random Commen with Id 43
44,9,1,158,9,Some Random Commen with Id 44
45,12,5,9,8,Some Random Commen with Id 45
46,12,5,121,1,Some Random Commen with Id 46
47,12,5,127,1,Some Random Commen with Id 47
48,12,5,107,4,Some Random Commen with Id 48
49,12,5,195,7,Some Random Commen with Id 49
50,12,5,57,5,Some Random Commen with Id 50
51,12,5,139,0,Some Random Commen with Id 51
52,12,5,172,1,Some Random Commen with Id 52
53,12,5,28,4,Some Random Commen with Id 53
54,13,6,139,5,Some Random Commen with Id 54
55,14,6,6,2,Some Random Commen with Id 55
56,16,9,159,8,Some Random Commen with Id 56
57,16,9,133,7,Some Random Commen with Id 57
58,16,9,145,6,Some Random Commen with Id 58
59,16,9,59,0,Some Random Commen with Id 59
60,16,9,36,3,Some Random Commen with Id 60
61,16,9,6,8,Some Random Commen with Id 61
62,17,1,125,7,Some Random Commen with Id 62
63,18,9,32,8,Some Random Commen with Id 63
64,18,9,179,5,Some Random Commen with Id 64
65,18,9,74,3,Some Random Commen with Id 65
66,19,7,173,9,Some Random Commen with Id 66
67,19,7,110,6,Some Random Commen with Id 67
68,19,7,12,5,Some Random Commen with Id 68
69,19,7,109,3,Some Random Commen with Id 69
70,21,6,23,8,Some Random Commen with Id 70
71,21,6,173,8,Some Random Commen with Id 71
72,21,6,145,8,Some Random Commen with Id 72
73,21,6,94,3,Some Random Commen with Id 73
74,21,6,153,4,Some Random Commen with Id 74
75,22,0,62,1,Some Random Commen with Id 75
76,22,0,37,8,Some Random Commen with Id 76
77,22,0,188,1,Some Random Commen with Id 77
78,22,0,41,9,Some Random Commen with Id 78
79,23,7,198,0,Some Random Commen with Id 79
80,23,7,170,4,Some Random Commen with Id 80
81,23,7,47,6,Some Random Commen with Id 81
82,23,7,113,6,Some Random Commen with Id 82
83,23,7,95,0,Some Random Commen with Id 83
84,23,7,56,8,Some Random Commen with Id 84
85,23,7,145,2,Some Random Commen with Id 85
86,24,4,135,8,Some Random Commen with Id 86
87,24,4,67,8,Some Random Commen with Id 87
88,24,4,35,9,Some Random Commen with Id 88
89,24,4,193,9,Some Random Commen with Id 89
90,24,4,153,5,Some Random Commen with Id 90
91,24,4,197,1,Some Random Commen with Id 91
92,24,4,109,2,Some Random Commen with Id 92
93,24,4,0,7,Some Random Commen with Id 93
94,24,4,193,6,Some Random Commen with Id 94
95,25,2,191,1,Some Random Commen with Id 95
96,25,2,106,2,Some Random Commen with Id 96
97,25,2,109,2,Some Random Commen with Id 97
98,26,9,86,7,Some Random Commen with Id 98
99,26,9,4,7,Some Random Commen with Id 99
100,26,9,60,0,Some Random Commen with Id 100
101,26,9,118,6,Some Random Commen with Id 101
102,26,9,68,3,Some Random Commen with Id 102
103,26,9,23,5,Some Random Commen with Id 103
104,26,9,106,9,Some Random Commen with Id 104
105,26,9,64,7,Some Random Commen with Id 105
106,26,9,3,5,Some Random Commen with Id 106
107,27,0,74,2,Some Random Commen with Id 107
108,27,0,1,9,Some Random Commen with Id 108
109,27,0,170,9,Some Random Commen with Id 109
110,27,0,102,5,Some Random Commen with Id 110
111,27,0,26,0,Some Random Commen with Id 111
112,27,0,79,9,Some Random Commen with Id 112
113,27,0,118,1,Some Random Commen with Id 113
114,28,5,170,1,Some Random Commen with Id 114
115,28,5,7,8,Some Random Commen with Id 115
116,28,5,25,8,Some Random Commen with Id 116
117,28,5,19,3,Some Random Commen with Id 117
118,28,5,92,8,Some Random Commen with Id 118
119,28,5,122,7,Some Random Commen with Id 119
120,28,5,31,5,Some Random Commen with Id 120
121,28,5,63,4,Some Random Commen with Id 121
122,29,3,66,8,Some Random Commen with Id 122
123,29,3,131,8,Some Random Commen with Id 123
124,29,3,26,4,Some Random Commen with Id 124
125,29,3,58,3,Some Random Commen with Id 125
126,29,3,117,0,Some Random Commen with Id 126
127,29,3,158,7,Some Random Commen with Id 127
128,29,3,83,0,Some Random Commen with Id 128
129,29,3,44,2,Some Random Commen with Id 129
130,30,7,8,6,Some Random Commen with Id 130
131,30,7,33,3,Some Random Commen with Id 131
132,30,7,124,6,Some Random Commen with Id 132
133,30,7,142,9,Some Random Commen with Id 133
134,30,7,124,2,Some Random Commen with Id 134
135,30,7,5,9,Some Random Commen with Id 135
136,30,7,14,0,Some Random Commen with Id 136
137,31,5,112,8,Some Random Commen with Id 137
138,31,5,19,7,Some Random Commen with Id 138
139,32,4,104,7,Some Random Commen with Id 139
140,32,4,146,9,Some Random Commen with Id 140
141,32,4,192,8,Some Random Commen with Id 141
142,32,4,54,8,Some Random Commen with Id 142
143,32,4,169,0,Some Random Commen with Id 143
144,32,4,123,5,Some Random Commen with Id 144
145,32,4,125,9,Some Random Commen with Id 145
146,32,4,53,9,Some Random Commen with Id 146
147,32,4,121,2,Some Random Commen with Id 147
148,33,0,122,7,Some Random Commen with Id 148
149,33,0,2,0,Some Random Commen with Id 149
150,33,0,187,5,Some Random Commen with Id 150
